Site      Inst    Year   MM   DD Jday   hh   mm        #     Conc      LWC     Rain      dBZ       Dm     DMax  Sigma_M    Wx_Code4677
UW       apu30    2015    3   28   87    0    0  869.00000 2013.16943    0.06677    0.35275   10.34545    0.42635    0.70800    0.00574   53
UW       apu30    2015    3   28   87    0    1  909.00000 2047.81580    0.07751    0.43321   11.90800    0.45229    0.83600    0.00866   55
UW       apu30    2015    3   28   87    0    2  838.00000 2016.32239    0.06194    0.31591    9.80090    0.41702    0.70800    0.00634   55
UW       apu30    2015    3   28   87    0    3  375.00000  941.15057    0.02709    0.13089    5.79283    0.40586    0.57900    0.00530   51
UW       apu30    2015    3   28   87    0    4  336.00000  847.12439    0.02331    0.11285    4.98302    0.40017    0.57900    0.00546   51
UW       apu30    2015    3   28   87    0    5  423.00000 1062.09949    0.02733    0.13484    5.56710    0.39301    0.70800    0.00660   51
UW       apu30    2015    3   28   87    0    6  524.00000 1132.32666    0.03492    0.20941    8.07016    0.43207    0.70800    0.01128   58
UW       apu30    2015    3   28   87    0    7  291.00000  681.74341    0.02109    0.10555    5.19300    0.41894    0.70800    0.00658   51
UW       apu30    2015    3   28   87    0    8  225.00000  593.34027    0.01660    0.08003    4.88349    0.41688    0.96500    0.01560   51
UW       apu30    2015    3   28   87    0    9  331.00000  763.36176    0.02151    0.12973    6.76207    0.43707    0.83600    0.02124   58
UW       apu30    2015    3   28   87    0   10  167.00000  395.03751    0.01220    0.07052    3.79366    0.43773    0.70800    0.01347   58
UW       apu30    2015    3   28   87    0   11  159.00000  402.22906    0.01221    0.05889    2.40809    0.41055    0.57900    0.00449   51
UW       apu30    2015    3   28   87    0   12  208.00000  555.90112    0.01235    0.05387    0.98144    0.36562    0.45000    0.00376   51
UW       apu30    2015    3   28   87    0   13  260.00000  680.51282    0.01806    0.08604    3.70517    0.39484    0.57900    0.00537   51
UW       apu30    2015    3   28   87    0   14  294.00000  635.49274    0.01986    0.10874    4.79301    0.41738    0.57900    0.00540   53
UW       apu30    2015    3   28   87    0   15  480.00000 1101.73584    0.03680    0.19611    7.96516    0.43035    0.70800    0.00699   53
UW       apu30    2015    3   28   87    0   16  577.00000 1306.57336    0.04402    0.26141    9.97832    0.45283    0.96500    0.01664   58
UW       apu30    2015    3   28   87    0   17  448.00000  979.47510    0.06225    0.51409   18.66273    0.71779    1.41600    0.10836   63
UW       apu30    2015    3   28   87    0   18  217.00000  457.40918    0.01404    0.08197    3.59781    0.42143    0.70800    0.00793   51
UW       apu30    2015    3   28   87    0   19  392.00000  864.23840    0.03434    0.20197    8.78592    0.46387    0.83600    0.01049   58
UW       apu30    2015    3   28   87    0   20  545.00000 1216.57263    0.04726    0.27285   10.04711    0.46164    0.70800    0.00965   53
UW       apu30    2015    3   28   87    0   21  253.00000  655.65320    0.01616    0.07408    2.74383    0.38203    0.57900    0.00446   51
UW       apu30    2015    3   28   87    0   22  485.00000 1141.27124    0.03867    0.20574    8.05291    0.42933    0.57900    0.00569   53
UW       apu30    2015    3   28   87    0   23  545.00000 1304.78821    0.04171    0.21431    8.11503    0.42064    0.57900    0.00546   53
UW       apu30    2015    3   28   87    0   24  584.00000 1511.62207    0.04650    0.22107    8.68769    0.41959    0.70800    0.00714   53
UW       apu30    2015    3   28   87    0   25  518.00000 1307.80017    0.03874    0.18660    7.42124    0.40902    0.57900    0.00505   53
UW       apu30    2015    3   28   87    0   26  213.00000  558.16772    0.01521    0.06994    3.02100    0.39768    0.57900    0.00507   51
UW       apu30    2015    3   28   87    0   27  322.00000  808.36871    0.02804    0.16618    9.08624    0.47665    0.96500    0.02624   58
UW       apu30    2015    3   28   87    0   28  414.00000 1043.91272    0.03189    0.16733    7.97375    0.43155    0.96500    0.01474   53
UW       apu30    2015    3   28   87    0   29  725.00000 1816.06323    0.05580    0.27125    9.31374    0.41682    0.70800    0.00605   53
UW       apu30    2015    3   28   87    0   30  269.00000  678.45105    0.01754    0.08214    3.39750    0.39007    0.57900    0.00497   51
UW       apu30    2015    3   28   87    0   31  236.00000  599.84125    0.01607    0.07587    3.35399    0.39811    0.57900    0.00605   51
