# E Count Uncertainty
1171    11 3.31662479
1171.05  6 2.449489743
1171.1  16 4
1171.15 11 3.31662479
1171.2  8  2.828427125
1171.25 10 3.16227766
1171.3  14 3.741657387
1171.35 11 3.31662479
1171.4  9  3
1171.45 11 3.31662479
1171.5  13 3.605551275
1171.55 12 3.464101615
1171.6  11 3.31662479
1171.65 10 3.16227766
1171.7  10 3.16227766
1171.75 11 3.31662479
1171.8  14 3.741657387
1171.85  6 2.449489743
1171.9   5 2.236067977
1171.95 11 3.31662479
1172 14 3.741657387
1172.05 9 3
1172.1 6 2.449489743
1172.15 13 3.605551275
1172.2 12 3.464101615
1172.25 11 3.31662479
1172.3 8 2.828427125
1172.35 3 1.732050808
1172.4 9 3
1172.45 12 3.464101615
1172.5 17 4.123105626
1172.55 9 3
1172.6 12 3.464101615
1172.65 18 4.242640687
1172.7 26 5.099019514
1172.75 38 6.164414003
1172.8 55 7.416198487
1172.85 80 8.94427191
1172.9 105 10.24695077
1172.95 197 14.03566885
1173 217 14.73091986
1173.05 302 17.3781472
1173.1 361 19
1173.15 417 20.42057786
1173.2 485 22.02271555
1173.25 502 22.4053565
1173.3 446 21.11871208
1173.35 415 20.37154879
1173.4 333 18.24828759
1173.45 247 15.71623365
1173.5 209 14.45683229
1173.55 158 12.56980509
1173.6 100 10
1173.65 62 7.874007874
1173.7 36 6
1173.75 38 6.164414003
1173.8 14 3.741657387
1173.85 11 3.31662479
1173.9 11 3.31662479
1173.95 10 3.16227766
1174 13 3.605551275
1174.05 15 3.872983346
1174.1 12 3.464101615
1174.15 8 2.828427125
1174.2 9 3
1174.25 8 2.828427125
1174.3 10 3.16227766
1174.35 7 2.645751311
1174.4 12 3.464101615
1174.45 6 2.449489743
1174.5 11 3.31662479
1174.55 6 2.449489743
1174.6 13 3.605551275
1174.65 15 3.872983346
1174.7 16 4
1174.75 13 3.605551275
1174.8 11 3.31662479
1174.85 8 2.828427125
1174.9 9 3
1174.95 12 3.464101615
1175 3 1.732050808
1175.05 8 2.828427125
1175.1 12 3.464101615
1175.15 4 2
1175.2 5 2.236067977
1175.25 11 3.31662479
1175.3 12 3.464101615
1175.35 7 2.645751311
1175.4 11 3.31662479
1175.45 9 3
1175.5 12 3.464101615
1175.55 14 3.741657387
1175.6 12 3.464101615
1175.65 10 3.16227766
1175.7 10 3.16227766
1175.75 6 2.449489743
1175.8 9 3
1175.85 7 2.645751311
1175.9 13 3.605551275
1175.95 10 3.16227766
